150 PA5-D-Debug-Answer.txt 6
 -144.4995  147.0351   87.3816   89.8246   70.2712   37.5790
   27.22    11.04    52.90        27.22    11.04    52.90     0.000
   -7.17   -23.54   -31.21        -7.17   -23.54   -31.21     0.000
   29.87    12.67    19.28        29.87    12.67    19.28     0.000
   12.69    -9.51    11.79        12.69    -9.51    11.79     0.000
  -21.78    -5.52   -52.14       -21.78    -5.52   -52.14     0.000
   -0.99   -13.11     8.22        -0.99   -13.11     8.22     0.000
   -8.98   -22.60   -42.95        -8.98   -22.60   -42.95     0.000
  -40.49    -3.80   -36.05       -40.49    -3.80   -36.05     0.000
   28.63     4.94    45.85        28.63     4.94    45.85     0.000
   -8.88   -23.68   -23.89        -8.88   -23.68   -23.89     0.000
   -7.94    -7.10    14.62        -7.94    -7.10    14.62     0.000
   21.21    23.14    12.15        21.21    23.14    12.15     0.000
   -2.59    -3.01   -26.81        -2.59    -3.01   -26.81     0.000
   13.19    24.20    42.84        13.19    24.20    42.84     0.000
  -37.99     2.92   -25.41       -37.99     2.92   -25.41     0.000
   21.87    -8.75     7.89        21.87    -8.75     7.89     0.000
   33.70    11.90    12.39        33.70    11.90    12.39     0.000
    6.46    -9.97   -19.13         6.46    -9.97   -19.13     0.000
  -40.57   -20.99   -34.39       -40.57   -20.99   -34.39     0.000
  -40.96   -14.56   -22.13       -40.96   -14.56   -22.13     0.000
  -36.96     2.50   -40.88       -36.96     2.50   -40.88     0.000
  -40.16   -14.66   -21.45       -40.16   -14.66   -21.45     0.000
   19.56    -0.42   -14.32        19.56    -0.42   -14.32     0.000
   31.26     8.58    -9.62        31.26     8.58    -9.62     0.000
  -29.95   -21.73   -48.38       -29.95   -21.73   -48.38     0.000
   -3.23   -20.01   -32.01        -3.23   -20.01   -32.01     0.000
  -25.07     6.22   -20.23       -25.07     6.22   -20.23     0.000
    8.30   -10.74     7.65         8.30   -10.74     7.65     0.000
  -34.13     6.77   -27.31       -34.13     6.77   -27.31     0.000
   32.66     7.43    -6.56        32.66     7.43    -6.56     0.000
   -7.95     7.98    -1.01        -7.95     7.98    -1.01     0.000
  -14.24    -9.10     1.09       -14.24    -9.10     1.09     0.000
   28.47     3.18   -20.40        28.47     3.18   -20.40     0.000
    6.27    23.55    43.62         6.27    23.55    43.62     0.000
   -8.30    -5.11    16.05        -8.30    -5.11    16.05     0.000
   -7.19     5.45    28.55        -7.19     5.45    28.55     0.000
  -26.23    -2.49   -14.38       -26.23    -2.49   -14.38     0.000
   -0.39   -15.47    -5.16        -0.39   -15.47    -5.16     0.000
  -36.04    -0.12   -45.59       -36.04    -0.12   -45.59     0.000
    9.48    -5.56    32.98         9.48    -5.56    32.98     0.000
  -26.07   -30.22   -34.51       -26.07   -30.22   -34.51     0.000
  -39.88    -7.36   -20.69       -39.88    -7.36   -20.69     0.000
  -11.98   -23.83   -20.29       -11.98   -23.83   -20.29     0.000
   -1.82     2.19   -19.65        -1.82     2.19   -19.65     0.000
   25.79     6.72    56.60        25.79     6.72    56.60     0.000
  -29.46     0.00   -17.93       -29.46     0.00   -17.93     0.000
   10.28    -5.90    24.63        10.28    -5.90    24.63     0.000
   27.61    16.14   -13.36        27.61    16.14   -13.36     0.000
    4.56    23.68    23.67         4.56    23.68    23.67     0.000
   25.86     4.74    56.75        25.86     4.74    56.75     0.000
    9.06    23.90    29.82         9.06    23.90    29.82     0.000
  -27.50     5.07   -45.38       -27.50     5.07   -45.38     0.000
   15.71    -3.60    44.20        15.71    -3.60    44.20     0.000
   -1.29     1.42    49.33        -1.29     1.42    49.33     0.000
   -7.06   -23.41   -30.60        -7.06   -23.41   -30.60     0.000
  -26.68     6.44   -19.75       -26.68     6.44   -19.75     0.000
   15.87    -7.75    14.50        15.87    -7.75    14.50     0.000
    1.20    -5.44   -23.45         1.20    -5.44   -23.45     0.000
   26.62    14.11   -16.05        26.62    14.11   -16.05     0.000
  -10.57   -24.16   -41.71       -10.57   -24.16   -41.71     0.000
    0.60    -8.11    32.31         0.60    -8.11    32.31     0.000
   -5.50   -16.75   -38.06        -5.50   -16.75   -38.06     0.000
   35.19     1.71    19.67        35.19     1.71    19.67     0.000
   -3.70    22.19    33.49        -3.70    22.19    33.49     0.000
   18.46    -4.13    29.70        18.46    -4.13    29.70     0.000
   24.55    21.47     2.98        24.55    21.47     2.98     0.000
   -6.25   -18.75   -12.55        -6.25   -18.75   -12.55     0.000
   14.53    24.12    44.26        14.53    24.12    44.26     0.000
   31.45     0.24    29.89        31.45     0.24    29.89     0.000
   -4.88   -12.88     8.57        -4.88   -12.88     8.57     0.000
  -16.94     3.40   -10.57       -16.94     3.40   -10.57     0.000
  -13.69    12.66    29.73       -13.69    12.66    29.73     0.000
  -11.28    -9.76     4.33       -11.28    -9.76     4.33     0.000
  -13.79   -26.17   -24.92       -13.79   -26.17   -24.92     0.000
   29.53     7.71    39.24        29.53     7.71    39.24     0.000
   -0.22    22.91    26.15        -0.22    22.91    26.15     0.000
    9.30    24.64     4.18         9.30    24.64     4.18     0.000
   30.62    12.06    17.44        30.62    12.06    17.44     0.000
   -8.45    21.41    28.19        -8.45    21.41    28.19     0.000
   -9.53     7.34    -0.32        -9.53     7.34    -0.32     0.000
   18.19     2.26   -15.76        18.19     2.26   -15.76     0.000
   26.25     1.62    54.10        26.25     1.62    54.10     0.000
   16.44    -7.23   -12.54        16.44    -7.23   -12.54     0.000
   33.24     3.98    24.27        33.24     3.98    24.27     0.000
  -27.84    -7.76   -52.38       -27.84    -7.76   -52.38     0.000
   -2.23   -10.21   -34.18        -2.23   -10.21   -34.18     0.000
   19.07    -3.18    47.80        19.07    -3.18    47.80     0.000
  -36.09   -22.36   -20.95       -36.09   -22.36   -20.95     0.000
   23.23     9.28   -22.32        23.23     9.28   -22.32     0.000
   29.21     8.68   -15.64        29.21     8.68   -15.64     0.000
   -7.74     2.52   -26.57        -7.74     2.52   -26.57     0.000
  -27.87    -1.66   -50.92       -27.87    -1.66   -50.92     0.000
   -3.00    -0.05    36.49        -3.00    -0.05    36.49     0.000
  -19.10   -17.42   -50.93       -19.10   -17.42   -50.93     0.000
   -0.65     7.36    56.15        -0.65     7.36    56.15     0.000
   28.40    -5.23    17.46        28.40    -5.23    17.46     0.000
  -25.53   -20.78   -15.92       -25.53   -20.78   -15.92     0.000
    3.54    23.82    32.09         3.54    23.82    32.09     0.000
  -29.19     7.32   -23.31       -29.19     7.32   -23.31     0.000
  -39.30   -17.58   -43.43       -39.30   -17.58   -43.43     0.000
   10.34    23.82    45.11        10.34    23.82    45.11     0.000
    2.61    -5.05   -21.54         2.61    -5.05   -21.54     0.000
   -5.42   -11.01    13.23        -5.42   -11.01    13.23     0.000
    0.59    17.23     8.49         0.59    17.23     8.49     0.000
   11.00    14.25   -16.40        11.00    14.25   -16.40     0.000
   30.30    12.40    18.24        30.30    12.40    18.24     0.000
    5.92    -2.79    58.41         5.92    -2.79    58.41     0.000
  -28.90   -19.86   -15.71       -28.90   -19.86   -15.71     0.000
   24.87    -6.11   -14.17        24.87    -6.11   -14.17     0.000
    2.90    18.94    57.24         2.90    18.94    57.24     0.000
   -4.42    -4.87    33.58        -4.42    -4.87    33.58     0.000
  -38.02   -16.59   -19.72       -38.02   -16.59   -19.72     0.000
   -9.62     5.32   -15.05        -9.62     5.32   -15.05     0.000
  -36.72     0.37   -22.39       -36.72     0.37   -22.39     0.000
  -32.85   -15.75   -50.62       -32.85   -15.75   -50.62     0.000
  -35.96   -17.22   -48.55       -35.96   -17.22   -48.55     0.000
   17.72    23.59     4.97        17.72    23.59     4.97     0.000
  -29.19     7.09   -39.48       -29.19     7.09   -39.48     0.000
    9.35     5.10    59.62         9.35     5.10    59.62     0.000
  -39.65     1.23   -26.48       -39.65     1.23   -26.48     0.000
  -33.50   -25.02   -22.04       -33.50   -25.02   -22.04     0.000
  -36.89     3.68   -37.27       -36.89     3.68   -37.27     0.000
    2.90    23.36    20.76         2.90    23.36    20.76     0.000
  -34.20     0.05   -20.48       -34.20     0.05   -20.48     0.000
  -31.96   -24.83   -44.87       -31.96   -24.83   -44.87     0.000
   21.65    17.50    56.40        21.65    17.50    56.40     0.000
  -36.51   -13.58   -17.52       -36.51   -13.58   -17.52     0.000
  -22.26   -25.70   -18.99       -22.26   -25.70   -18.99     0.000
   20.33    22.40    47.89        20.33    22.40    47.89     0.000
   33.76    13.32     2.93        33.76    13.32     2.93     0.000
  -39.61    -2.82   -38.53       -39.61    -2.82   -38.53     0.000
   10.03    19.29    -8.47        10.03    19.29    -8.47     0.000
   24.30    -0.67    51.53        24.30    -0.67    51.53     0.000
   22.60     6.83   -23.56        22.60     6.83   -23.56     0.000
  -25.13     6.47   -24.19       -25.13     6.47   -24.19     0.000
   12.64    20.03    -9.33        12.64    20.03    -9.33     0.000
   32.33    -3.78    -8.59        32.33    -3.78    -8.59     0.000
   21.05     3.26    56.88        21.05     3.26    56.88     0.000
   -6.20   -19.76   -34.24        -6.20   -19.76   -34.24     0.000
  -36.13    -2.80   -47.74       -36.13    -2.80   -47.74     0.000
   -6.34    19.24    37.57        -6.34    19.24    37.57     0.000
  -34.13   -24.92   -22.35       -34.13   -24.92   -22.35     0.000
  -23.37   -30.33   -34.38       -23.37   -30.33   -34.38     0.000
  -42.93    -7.27   -27.51       -42.93    -7.27   -27.51     0.000
    9.85    23.15    -2.13         9.85    23.15    -2.13     0.000
    2.04    -6.95   -23.10         2.04    -6.95   -23.10     0.000
   29.44    -3.30    24.41        29.44    -3.30    24.41     0.000
   -4.30    11.94    42.08        -4.30    11.94    42.08     0.000
  -41.97   -18.56   -31.31       -41.97   -18.56   -31.31     0.000
  -13.65   -22.40   -45.71       -13.65   -22.40   -45.71     0.000
