400 PA5-F-Debug-Answer.txt 6
   11.5190  171.4056  -15.9904   28.5911  -29.9382  -33.3179
  -24.72    -4.89   -11.18       -24.70    -4.91   -11.23     0.049
   19.55    18.79    56.18        19.74    18.90    56.20     0.223
  -26.25   -20.13   -11.73       -26.25   -20.10   -11.76     0.037
   14.39    22.91    30.91        14.39    22.92    30.91     0.006
   22.65    -0.27    38.18        22.61    -0.24    38.17     0.052
  -16.78   -32.34   -33.87       -16.77   -32.37   -33.87     0.028
  -38.59   -20.48   -23.10       -38.62   -20.50   -23.08     0.047
   -3.44     5.48    40.28        -3.37     5.50    40.27     0.069
  -31.25     7.89   -37.16       -31.30     8.02   -37.22     0.147
  -33.58     0.92   -45.41       -33.60     0.94   -45.43     0.034
   12.08    22.56    22.06        12.10    22.70    22.07     0.147
    6.66    19.22    -2.21         6.58    19.26    -2.21     0.084
   -2.42    13.52    61.04        -2.32    13.48    61.04     0.107
  -26.14   -31.72   -30.50       -26.14   -31.70   -30.50     0.012
  -31.04   -26.52   -41.71       -30.98   -26.42   -41.64     0.135
  -41.79    -5.23   -24.91       -41.84    -5.21   -24.90     0.058
    8.26    15.01   -10.00         8.25    15.00   -10.00     0.007
   20.59    -0.49    49.83        20.51    -0.43    49.82     0.109
  -35.37     3.32   -41.16       -35.36     3.31   -41.15     0.020
   25.93     2.29   -29.53        25.93     2.27   -29.50     0.036
  -32.58   -13.53   -12.28       -32.60   -13.53   -12.26     0.020
  -14.17    15.87    39.58       -14.19    15.86    39.60     0.025
   26.96    17.65    -8.41        26.96    17.65    -8.41     0.000
    2.87    -7.16    25.32         2.85    -7.12    25.31     0.044
   13.34    23.38    40.69        13.36    23.30    40.71     0.086
  -33.11   -28.04   -33.19       -33.12   -28.06   -33.19     0.018
    1.27    16.70     9.94         1.26    16.71     9.93     0.015
   22.59    14.23    44.66        22.61    14.23    44.66     0.014
  -30.77   -16.09   -11.97       -30.77   -16.05   -12.03     0.071
  -42.49    -8.36   -25.86       -42.49    -8.36   -25.86     0.000
   26.38    -5.97   -26.05        26.35    -6.04   -26.10     0.095
  -42.56    -8.61   -26.27       -42.58    -8.61   -26.26     0.026
   -2.85    -3.40   -37.09        -2.79    -3.39   -37.09     0.062
   15.36     0.12   -21.53        15.25     0.12   -21.61     0.137
    0.89   -20.03   -27.82         0.84   -20.02   -27.81     0.052
   31.42    -4.46    -2.94        31.37    -4.42    -2.94     0.060
   32.07     4.68   -16.05        32.14     4.69   -16.08     0.069
  -11.51     3.25     9.94       -11.57     3.25     9.95     0.058
   10.48     7.23    66.67        10.35     7.28    66.60     0.160
  -20.51   -28.77   -43.94       -20.50   -28.66   -43.86     0.136
   29.36    -6.82    -0.52        29.45    -6.87    -0.51     0.105
   -1.37    -1.99    39.20        -1.37    -1.99    39.20     0.001
   21.05    18.99   -18.92        21.04    18.97   -18.91     0.021
  -12.76    -1.02   -50.70       -12.79    -1.04   -50.66     0.063
   -2.79    -6.48   -40.81        -2.76    -6.46   -40.83     0.041
    8.98    23.63    10.56         9.02    23.57    10.55     0.072
  -11.44     1.73     8.06       -11.70     1.75     8.06     0.260
  -30.94   -10.79   -51.05       -30.97   -10.81   -51.12     0.081
  -43.17   -15.59   -32.59       -43.09   -15.56   -32.60     0.091
   25.94    -6.12   -25.69        25.93    -6.16   -25.72     0.048
   -1.54    11.84     1.51        -1.52    11.81     1.53     0.038
   -2.49     2.58    45.59        -2.46     2.59    45.59     0.023
    5.19    -0.27   -20.37         5.26    -0.21   -20.45     0.123
  -10.89    -5.49   -51.04       -10.93    -5.50   -51.00     0.054
    3.67    22.64    25.85         3.65    22.56    25.85     0.085
   11.48    23.55     0.55        11.50    23.48     0.56     0.075
  -38.73     2.58   -29.59       -38.75     2.59   -29.59     0.019
   20.66    22.77     8.49        20.71    22.85     8.49     0.093
   26.67   -11.21   -19.85        26.70   -11.24   -19.86     0.045
   25.50    17.48   -15.98        25.50    17.49   -15.98     0.016
    1.24    -3.19   -25.99         1.23    -3.20   -25.97     0.022
   16.09    -3.72    41.18        16.08    -3.61    41.17     0.113
   25.40    15.90    12.86        25.35    15.87    12.83     0.058
  -34.04     1.41   -17.82       -34.10     1.48   -17.75     0.114
   31.96     0.80   -19.58        32.00     0.82   -19.59     0.039
  -17.97     8.90   -20.12       -17.96     8.80   -20.18     0.113
  -37.60    -5.30   -42.25       -37.64    -5.32   -42.27     0.047
   11.29     8.96   -20.77        11.32     9.01   -20.78     0.057
   22.81    13.72    41.16        22.79    13.71    41.16     0.024
   24.47    19.58    -7.39        24.43    19.51    -7.38     0.086
  -13.34    17.21    25.72       -13.44    17.24    25.63     0.142
  -18.55    -8.58    -6.05       -18.55    -8.58    -6.04     0.004
   23.43     9.71    52.90        23.23     9.70    52.87     0.204
   24.21    19.37    11.45        24.22    19.37    11.46     0.010
   -7.92     5.97    22.49        -8.00     5.91    22.53     0.109
    1.38    19.32    56.45         1.42    19.23    56.45     0.094
   32.52    12.16     3.24        32.42    12.07     3.20     0.138
   10.15    -3.94    64.35        10.13    -4.26    64.33     0.318
   10.03    18.58   -25.01        10.03    18.60   -25.03     0.027
    4.52    -3.15    56.10         4.57    -3.06    56.10     0.096
    5.26    -8.02    17.36         5.22    -7.86    17.31     0.168
   11.44    -5.16    22.81        11.45    -5.15    22.81     0.014
    8.53    19.68   -11.17         8.46    19.73   -11.17     0.091
   -9.41   -24.87   -16.51        -9.45   -24.84   -16.54     0.057
   25.36     2.49    28.71        25.58     2.42    28.76     0.234
  -40.32    -1.82   -24.90       -40.36    -1.79   -24.89     0.049
   -7.46   -10.18   -48.23        -7.55   -10.19   -48.16     0.112
   19.24    -1.28    51.46        19.33    -1.36    51.48     0.120
   18.43    -3.20    41.32        18.41    -3.13    41.31     0.078
   13.15    -3.66    43.31        13.15    -3.63    43.31     0.033
  -42.10   -18.33   -34.07       -42.12   -18.35   -34.06     0.022
