400 PA5-F-Debug-Output.txt 6
   11.0641  171.7152  -15.4777   28.1595  -29.9028  -33.2321
  -24.72    -4.88   -11.19       -24.70    -4.90   -11.24     0.061
   19.53    18.79    56.18        19.72    18.92    56.19     0.234
  -26.26   -20.12   -11.74       -26.26   -20.10   -11.76     0.030
   14.38    22.92    30.91        14.38    22.93    30.91     0.009
   22.63    -0.27    38.19        22.60    -0.24    38.18     0.037
  -16.78   -32.33   -33.87       -16.78   -32.37   -33.87     0.036
  -38.60   -20.47   -23.11       -38.64   -20.50   -23.08     0.059
   -3.46     5.49    40.28        -3.36     5.52    40.27     0.099
  -31.25     7.90   -37.17       -31.29     8.02   -37.22     0.138
  -33.57     0.93   -45.42       -33.59     0.95   -45.44     0.037
   12.07    22.56    22.06        12.09    22.71    22.08     0.157
    6.65    19.22    -2.21         6.59    19.25    -2.21     0.066
   -2.44    13.54    61.04        -2.30    13.47    61.04     0.157
  -26.15   -31.71   -30.51       -26.15   -31.71   -30.51     0.002
  -31.04   -26.51   -41.71       -30.99   -26.43   -41.65     0.118
  -41.79    -5.22   -24.92       -41.85    -5.20   -24.91     0.060
    8.26    15.01   -10.00         8.26    15.01   -10.00     0.011
   20.57    -0.49    49.84        20.50    -0.44    49.83     0.090
  -35.37     3.33   -41.17       -35.36     3.32   -41.16     0.018
   25.93     2.28   -29.52        25.93     2.27   -29.50     0.027
  -32.59   -13.52   -12.28       -32.60   -13.52   -12.27     0.015
  -14.19    15.88    39.58       -14.17    15.89    39.57     0.024
   26.95    17.65    -8.40        26.95    17.65    -8.40     0.002
    2.85    -7.15    25.32         2.84    -7.13    25.32     0.030
   13.32    23.39    40.69        13.35    23.29    40.71     0.098
  -33.12   -28.03   -33.20       -33.14   -28.06   -33.20     0.035
    1.26    16.70     9.94         1.27    16.70     9.94     0.005
   22.58    14.23    44.67        22.60    14.24    44.67     0.026
  -30.78   -16.08   -11.98       -30.78   -16.04   -12.04     0.070
  -42.50    -8.35   -25.87       -42.51    -8.35   -25.86     0.010
   26.37    -5.97   -26.04        26.35    -6.03   -26.08     0.074
  -42.56    -8.60   -26.28       -42.60    -8.60   -26.27     0.036
   -2.85    -3.40   -37.09        -2.80    -3.39   -37.09     0.052
   15.36     0.12   -21.52        15.26     0.12   -21.60     0.128
    0.88   -20.03   -27.81         0.83   -20.02   -27.80     0.055
   31.41    -4.46    -2.93        31.35    -4.42    -2.93     0.074
   32.07     4.68   -16.04        32.12     4.68   -16.06     0.058
  -11.52     3.25     9.94       -11.55     3.26     9.94     0.030
   10.46     7.24    66.68        10.35     7.28    66.61     0.132
  -20.51   -28.77   -43.95       -20.51   -28.67   -43.87     0.122
   29.35    -6.82    -0.51        29.43    -6.87    -0.50     0.097
   -1.39    -1.98    39.20        -1.38    -1.97    39.18     0.028
   21.05    18.99   -18.92        21.04    18.97   -18.91     0.025
  -12.75    -1.02   -50.71       -12.80    -1.05   -50.65     0.075
   -2.79    -6.48   -40.81        -2.76    -6.47   -40.82     0.032
    8.98    23.64    10.56         9.01    23.57    10.55     0.075
